season,position,checkpoint,historyEnabled,rateFeatureCount,selectedAvailabilityStrategy,availabilityFeatureCount,validationBlocks,validationMae,validationGamesMae
2025,TE,8,True,13,health_knn,13,12,82.99326160665173,1.8877423770709916
2014,TE,12,False,0,full_available,0,1,64.61409916837549,1.6710526315789473
2015,TE,12,False,0,health_knn,13,2,49.145829830303654,1.135858033921565
2016,TE,12,False,0,health_knn,13,3,49.581139491433696,1.1837781372257017
2017,TE,12,False,0,health_knn,13,4,52.37908111335922,1.2252185499587618
2018,TE,12,False,0,health_knn,13,5,52.265065383796724,1.2141493788836863
2019,TE,12,True,13,health_knn,13,6,52.99138172186116,1.2490025805055989
2020,TE,12,False,0,health_knn,13,7,53.81615070195284,1.2891253906419662
2021,TE,12,False,0,health_knn,13,8,53.56378881702338,1.292953078788847
2022,TE,12,False,0,health_knn,13,9,54.07921372114026,1.3279745683808162
2023,TE,12,False,0,health_knn,13,10,53.55063647717082,1.3217271154343397
2024,TE,12,False,0,health_knn,13,11,54.083238154229186,1.3339339552425467
2025,TE,12,False,0,health_knn,13,12,54.216294719497206,1.3322571559395493
2014,WR,4,True,13,full_available,0,1,255.4090909090909,2.3636363636363638
2015,WR,4,True,13,health_knn,13,2,202.64952963811416,2.4272513792343626
2016,WR,4,True,13,health_knn,13,3,195.70426817813674,2.416360477991457
2017,WR,4,True,13,health_knn,13,4,192.76049627889705,2.3500645869555554
2018,WR,4,True,13,health_knn,13,5,186.22876223774446,2.2856403220238524
2019,WR,4,True,13,health_knn,13,6,184.15140576289897,2.321263473406783
2020,WR,4,True,13,health_knn,13,7,183.28917502976668,2.336928095809107
2021,WR,4,True,13,health_knn,13,8,180.66099235004398,2.3350312395011263
2022,WR,4,True,13,health_knn,13,9,181.2064702685231,2.357604059527464
2023,WR,4,True,13,health_knn,13,10,180.69458966972172,2.3949380176937773
2024,WR,4,True,13,health_knn,13,11,179.1601709294352,2.3766607370791286
2025,WR,4,True,13,health_knn,13,12,180.20544912223951,2.3858819352194933
2014,WR,8,True,13,full_available,0,1,153.25174379611,2.2253521126760565
