player_id,player_name,position,prior_team,target_season,career_state,career_flags,target_age,prior_seasons,prior_games,full_prior_seasons,latest_games,latest_rate,older_rate,rate_trend_pct,opportunity_trend_pct,latest_percentile,role_bucket,role_rank,role_stability,star_flag,shortened_prior,cohort_rows,cohort_rate,history_weight,state_adjustment,evidence_floor,predicted_games,contract_status,contract_decision_type,contract_rebound_research,generic_role_rate,identity_raw_rate,identity_shrunk_rate,identity_state_rate,identity_guardrail_rate,identity_contract_rate,generic_role_total,identity_raw_total,identity_shrunk_total,identity_state_total,identity_guardrail_total,identity_contract_total,generic_role_eq17,identity_raw_eq17,identity_shrunk_eq17,identity_state_eq17,identity_guardrail_eq17,identity_contract_eq17,forecast_team,forecast_position,current_roster_match
00-0038891,Shedrick Jackson,WR,LV,2026,RETURNING_FROM_INJURY_OR_SHORTENED,SHORTENED_PRIOR_SEASON|RECENT_TEAM_CHANGE,26.867745,2,5,0,3,18.666667,0.000000,0.000000,233.333333,4.197901,BACKUP,5,MEDIUM,False,True,497,8.200000,0.454545,1.000000,0.000000,6.372549,UNKNOWN,,False,6.000000,8.516667,8.343939,8.343939,8.343939,8.343939,38.235294,54.272876,53.172163,53.172163,53.172163,53.172163,102.000000,144.783333,141.846970,141.846970,141.846970,141.846970,LV,WR,True
00-0034867,Malik Turner,WR,SF,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON,30.588561,1,2,0,2,0.000000,,0.000000,0.000000,0.000000,BACKUP,7,LOW,False,True,77,8.187500,0.090909,1.000000,0.000000,7.142857,UNKNOWN,,False,6.000000,0.000000,7.443182,7.443182,7.443182,7.443182,42.857143,0.000000,53.165584,53.165584,53.165584,53.165584,102.000000,0.000000,126.534091,126.534091,126.534091,126.534091,SF,WR,True
00-0034419,Braxton Berrios,WR,HOU,2026,RETURNING_FROM_INJURY_OR_SHORTENED,SHORTENED_PRIOR_SEASON|RECENT_TEAM_CHANGE,30.906158,3,26,1,4,9.250000,5.206250,77.671068,73.128945,0.299850,BACKUP,6,MEDIUM,False,True,77,8.187500,0.812500,1.020000,0.000000,7.863158,UNKNOWN,,False,6.000000,6.223761,6.591962,6.723801,6.723801,6.723801,47.178947,48.938416,51.833639,52.870312,52.870312,52.870312,102.000000,105.803938,112.063356,114.304623,114.304623,114.304623,NYG,WR,True
00-0038647,Ronnie Bell,WR,NO,2026,RETURNING_FROM_INJURY_OR_SHORTENED,SHORTENED_PRIOR_SEASON|RECENT_TEAM_CHANGE,26.593955,3,19,1,2,11.500000,5.405769,112.735681,50.943396,0.674663,BACKUP,6,MEDIUM,False,True,497,8.200000,0.760000,1.020000,0.000000,6.498387,UNKNOWN,,False,6.000000,7.809744,7.903405,8.061473,8.061473,8.061473,38.990323,50.750737,51.359386,52.386574,52.386574,52.386574,102.000000,132.765641,134.357887,137.045045,137.045045,137.045045,NO,WR,True
00-0036497,Tim Jones,WR,JAX,2026,RETURNING_FROM_INJURY_OR_SHORTENED,SHORTENED_PRIOR_SEASON,28.299671,3,20,2,2,7.500000,6.236250,20.264582,-51.749095,0.149925,BACKUP,7,LOW,False,True,497,8.200000,0.769231,1.016212,0.000000,7.000000,UNKNOWN,,False,6.000000,7.098450,7.352654,7.471853,7.471853,7.471853,42.000000,49.689150,51.468577,52.302968,52.302968,52.302968,102.000000,120.673650,124.995115,127.021494,127.021494,127.021494,JAX,WR,True
00-0040534,Ke'Shawn Williams,WR,CIN,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON,24.680158,1,11,1,11,0.454545,,0.000000,0.000000,0.000000,BACKUP,5,LOW,False,True,497,8.200000,0.354839,1.000000,0.000000,9.434783,UNKNOWN,,False,6.000000,0.454545,5.451613,5.451613,5.451613,5.451613,56.608696,4.288538,51.434783,51.434783,51.434783,51.434783,102.000000,7.727273,92.677419,92.677419,92.677419,92.677419,CIN,WR,True
00-0040431,Dalen Cambre,WR,NYG,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON,25.394751,1,3,0,3,0.000000,,0.000000,0.000000,0.000000,BACKUP,9,LOW,False,True,497,8.200000,0.130435,1.000000,0.000000,7.000000,UNKNOWN,,False,6.000000,0.000000,7.130435,7.130435,7.130435,7.130435,42.000000,0.000000,49.913043,49.913043,49.913043,49.913043,102.000000,0.000000,121.217391,121.217391,121.217391,121.217391,NYG,WR,True
00-0036463,Chris Blair,WR,ATL,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON,28.904748,2,3,0,1,0.000000,8.500000,-100.000000,-100.000000,0.000000,BACKUP,9,LOW,False,True,497,8.200000,0.130435,1.000000,0.000000,6.670588,UNKNOWN,,False,6.000000,1.521605,7.328905,7.328905,7.328905,7.328905,40.023529,10.150000,48.888107,48.888107,48.888107,48.888107,102.000000,25.867284,124.591385,124.591385,124.591385,124.591385,ATL,WR,True
00-0039920,Malachi Corley,WR,CLE,2026,RETURNING_FROM_INJURY_OR_SHORTENED,SHORTENED_PRIOR_SEASON|RECENT_TEAM_CHANGE,24.450174,2,17,1,12,6.583333,3.200000,105.729167,-2.777778,0.074963,BACKUP,5,MEDIUM,False,True,497,8.200000,0.739130,1.020000,0.000000,8.156322,UNKNOWN,,False,6.000000,4.897867,5.759293,5.874479,5.874479,5.874479,48.937931,39.948580,46.974648,47.914141,47.914141,47.914141,102.000000,83.263740,97.907982,99.866141,99.866141,99.866141,CLE,WR,True
00-0038573,Derius Davis,WR,LAC,2026,DEVELOPING,SHORTENED_PRIOR_SEASON|ROLE_DROP,25.972450,3,43,3,11,0.909091,6.212157,-85.365938,-74.902398,0.000000,BACKUP,6,LOW,False,True,497,8.200000,0.781818,1.000000,0.000000,11.987273,UNKNOWN,,False,6.000000,2.723269,3.918192,3.918192,3.918192,3.918192,71.923636,32.644574,46.968442,46.968442,46.968442,46.968442,102.000000,46.295581,66.609272,66.609272,66.609272,66.609272,LAC,WR,True
